法规编号,区域,国家,是否在法规库,解读条数,解读ID,解读标题,解读类型,链接
GB 11557-2026,中国,中国,否（待补充）,1,INS-2026-011,汽车转向防伤害法规升级，12个变化点详解 | GB 11557-2026,修订解读,
UN Regulation No. 12,欧洲,UN ECE,是,1,INS-2026-011,汽车转向防伤害法规升级，12个变化点详解 | GB 11557-2026,修订解读,
UN Regulation No. 48,欧洲,UN ECE,是,1,INS-2026-012,自动近光灯法规修订分析 | UN R48.8,修订解读,
GB 15082-2026,中国,中国,否（待补充）,1,INS-2026-014,车速/里程表法规修订解读 | GB 15082-2026 与 UN R39.2,对比解读,
UN Regulation No. 39,欧洲,UN ECE,是,1,INS-2026-014,车速/里程表法规修订解读 | GB 15082-2026 与 UN R39.2,对比解读,
UN Regulation No. 125,欧洲,UN ECE,是,1,INS-2026-015,驾驶员前方视野校核指南 | GB 11562-2025,文本解读,
UN Regulation No. 100.04,欧洲,UN ECE,是,1,INS-2026-016,2025年度汽车法规全景拆解：UN R100.04与GB 38031实操指南与测试红线,修订解读,
UN Regulation No. 13,欧洲,UN ECE,是,2,INS-2026-016,2025年度汽车法规全景拆解：UN R100.04与GB 38031实操指南与测试红线,修订解读,
UN Regulation No. 13,欧洲,UN ECE,是,2,INS-2026-018,UN R79 转向法规：车企准入合规要点与常见误区,修订解读,
GB 38031-2025,中国,中国,否（待补充）,2,INS-2026-016,2025年度汽车法规全景拆解：UN R100.04与GB 38031实操指南与测试红线,修订解读,
GB 38031-2025,中国,中国,否（待补充）,2,INS-2026-038,中欧动力电池热失控法规差异详解:不起火、不爆炸,对比解读,
UN Regulation No. 64,欧洲,UN ECE,是,1,INS-2026-017,【泰测 | 认证知识】UN R64法规：车辆应急轮胎及配套系统简析,文本解读,
UN Regulation No. 141,欧洲,UN ECE,是,1,INS-2026-017,【泰测 | 认证知识】UN R64法规：车辆应急轮胎及配套系统简析,文本解读,
UN Regulation No. 79,欧洲,UN ECE,是,3,INS-2026-018,UN R79 转向法规：车企准入合规要点与常见误区,修订解读,
UN Regulation No. 79,欧洲,UN ECE,是,3,INS-2026-020,联合国法规UN R79/R171/R157对比学习,对比解读,
UN Regulation No. 79,欧洲,UN ECE,是,3,INS-2026-037,"欧洲高阶智驾「通关」指南:R171是正门,第39条是VIP快速通道",对比解读,
UN Regulation No. 130,欧洲,UN ECE,是,1,INS-2026-018,UN R79 转向法规：车企准入合规要点与常见误区,修订解读,
UN Regulation No. 100,欧洲,UN ECE,是,1,INS-2026-019,巴西认证为何混合联合国、美国法规？ECE、UN R、CONTRAN与RESOLUTION的区别,体系科普,
UN Regulation No. 95,欧洲,UN ECE,是,2,INS-2026-019,巴西认证为何混合联合国、美国法规？ECE、UN R、CONTRAN与RESOLUTION的区别,体系科普,
UN Regulation No. 95,欧洲,UN ECE,是,2,INS-2026-021,印尼车辆型式认证(VTA)体系及向UN法规靠拢路线图｜GIIAS 2025,体系科普,
FMVSS 305,美国,美国,是,1,INS-2026-019,巴西认证为何混合联合国、美国法规？ECE、UN R、CONTRAN与RESOLUTION的区别,体系科普,
CONTRAN 721/2018,南美,巴西,否（待补充）,1,INS-2026-019,巴西认证为何混合联合国、美国法规？ECE、UN R、CONTRAN与RESOLUTION的区别,体系科普,
CONTRAN 749/2018,南美,巴西,是,1,INS-2026-019,巴西认证为何混合联合国、美国法规？ECE、UN R、CONTRAN与RESOLUTION的区别,体系科普,
UN Regulation No. 171,欧洲,UN ECE,是,2,INS-2026-020,联合国法规UN R79/R171/R157对比学习,对比解读,
UN Regulation No. 171,欧洲,UN ECE,是,2,INS-2026-037,"欧洲高阶智驾「通关」指南:R171是正门,第39条是VIP快速通道",对比解读,
UN Regulation No. 157,欧洲,UN ECE,是,1,INS-2026-020,联合国法规UN R79/R171/R157对比学习,对比解读,
CMVR,南亚,印度,否（待补充）,1,INS-2024-001,印度汽车准入认证要求概述：CMVR/AIS/IS 与 ARAI/BIS 体系,体系科普,
AIS 007,南亚,印度,否（待补充）,1,INS-2024-001,印度汽车准入认证要求概述：CMVR/AIS/IS 与 ARAI/BIS 体系,体系科普,
AIS 标准体系,南亚,印度,否（待补充）,1,INS-2024-001,印度汽车准入认证要求概述：CMVR/AIS/IS 与 ARAI/BIS 体系,体系科普,
IS 标准(BIS),南亚,印度,是,1,INS-2024-001,印度汽车准入认证要求概述：CMVR/AIS/IS 与 ARAI/BIS 体系,体系科普,
UU 22/2009,东南亚,印度尼西亚,是,1,INS-2026-021,印尼车辆型式认证(VTA)体系及向UN法规靠拢路线图｜GIIAS 2025,体系科普,
PP 55/2012,东南亚,印度尼西亚,是,1,INS-2026-021,印尼车辆型式认证(VTA)体系及向UN法规靠拢路线图｜GIIAS 2025,体系科普,
PM 33/2018,东南亚,印度尼西亚,是,1,INS-2026-021,印尼车辆型式认证(VTA)体系及向UN法规靠拢路线图｜GIIAS 2025,体系科普,
ASEAN MRA (APMRA),东盟,东盟,是,1,INS-2026-021,印尼车辆型式认证(VTA)体系及向UN法规靠拢路线图｜GIIAS 2025,体系科普,
UN Regulation No. 66,欧洲,UN ECE,是,1,INS-2026-021,印尼车辆型式认证(VTA)体系及向UN法规靠拢路线图｜GIIAS 2025,体系科普,
UN Regulation No. 94,欧洲,UN ECE,是,1,INS-2026-021,印尼车辆型式认证(VTA)体系及向UN法规靠拢路线图｜GIIAS 2025,体系科普,
AIS 156,南亚,印度,否（待补充）,1,INS-2026-022,全球电池认证标准速览:印度/中国/北美/国际六大锂电池安全合规标准｜EV·储能·消费电子,对比解读,
UN 38.3,全球,联合国(运输),否（待补充）,1,INS-2026-022,全球电池认证标准速览:印度/中国/北美/国际六大锂电池安全合规标准｜EV·储能·消费电子,对比解读,
IEC 62133,国际,IEC,否（待补充）,1,INS-2026-022,全球电池认证标准速览:印度/中国/北美/国际六大锂电池安全合规标准｜EV·储能·消费电子,对比解读,
IS 16893,南亚,印度,否（待补充）,1,INS-2026-022,全球电池认证标准速览:印度/中国/北美/国际六大锂电池安全合规标准｜EV·储能·消费电子,对比解读,
GB 38031,中国,中国,否（待补充）,1,INS-2026-022,全球电池认证标准速览:印度/中国/北美/国际六大锂电池安全合规标准｜EV·储能·消费电子,对比解读,
GB 31241,中国,中国,否（待补充）,1,INS-2026-022,全球电池认证标准速览:印度/中国/北美/国际六大锂电池安全合规标准｜EV·储能·消费电子,对比解读,
UL 2271,北美,美国/北美,否（待补充）,1,INS-2026-022,全球电池认证标准速览:印度/中国/北美/国际六大锂电池安全合规标准｜EV·储能·消费电子,对比解读,
UL 2580,北美,美国/北美,否（待补充）,1,INS-2026-022,全球电池认证标准速览:印度/中国/北美/国际六大锂电池安全合规标准｜EV·储能·消费电子,对比解读,
TR CU 018/2011,中亚,哈萨克斯坦,否（待补充）,1,INS-2026-023,出海易忽略的冷门强制准入认证清单:中亚/东北亚/东欧/北非/小众岛国 + 新能源专项前置,体系科普,
UzTR.237-016:2017,中亚,乌兹别克斯坦,否（待补充）,2,INS-2026-023,出海易忽略的冷门强制准入认证清单:中亚/东北亚/东欧/北非/小众岛国 + 新能源专项前置,体系科普,
UzTR.237-016:2017,中亚,乌兹别克斯坦,否（待补充）,2,INS-2026-027,中亚各国汽车认证制度 + 报关/清关'双闸口'通关策略,体系科普,
UN R155,欧洲,UN ECE,是,2,INS-2026-023,出海易忽略的冷门强制准入认证清单:中亚/东北亚/东欧/北非/小众岛国 + 新能源专项前置,体系科普,
UN R155,欧洲,UN ECE,是,2,INS-2026-025,中国智能网联汽车技术规程 C-ICAP(2026年版):行车辅助/泊车辅助/智慧座舱/隐私保护四单元星级测评,体系科普,
UN R156,欧洲,UN ECE,是,2,INS-2026-023,出海易忽略的冷门强制准入认证清单:中亚/东北亚/东欧/北非/小众岛国 + 新能源专项前置,体系科普,
UN R156,欧洲,UN ECE,是,2,INS-2026-025,中国智能网联汽车技术规程 C-ICAP(2026年版):行车辅助/泊车辅助/智慧座舱/隐私保护四单元星级测评,体系科普,
第33187-2022号总统令(K-RoHS),东亚,韩国,否（待补充）,1,INS-2026-024,韩国汽车禁/限用物质三大法规:K-RoHS(总统令33187)/ K-REACH(19172号)/ K-POPs(总统令33514),体系科普,
19172号法案(K-REACH),东亚,韩国,否（待补充）,1,INS-2026-024,韩国汽车禁/限用物质三大法规:K-RoHS(总统令33187)/ K-REACH(19172号)/ K-POPs(总统令33514),体系科普,
第33514号总统令(K-POPs),东亚,韩国,否（待补充）,1,INS-2026-024,韩国汽车禁/限用物质三大法规:K-RoHS(总统令33187)/ K-REACH(19172号)/ K-POPs(总统令33514),体系科普,
C-ICAP 2026,中国,中国,否（待补充）,1,INS-2026-025,中国智能网联汽车技术规程 C-ICAP(2026年版):行车辅助/泊车辅助/智慧座舱/隐私保护四单元星级测评,体系科普,
VITAS 型式批准,东南亚,新加坡,否（待补充）,1,INS-2026-026,东盟十国汽车准入政策:型式批准走向 + 各国认证 + 0关税进程,体系科普,
SIRIM/国家型式批准,东南亚,马来西亚,否（待补充）,1,INS-2026-026,东盟十国汽车准入政策:型式批准走向 + 各国认证 + 0关税进程,体系科普,
34/2005 & 35/2005,东南亚,越南,否（待补充）,1,INS-2026-026,东盟十国汽车准入政策:型式批准走向 + 各国认证 + 0关税进程,体系科普,
TR CU 018/2011 (EAC),中亚,哈萨克斯坦,否（待补充）,1,INS-2026-027,中亚各国汽车认证制度 + 报关/清关'双闸口'通关策略,体系科普,
INMETRO / LCVM / CAT,南美,巴西,否（待补充）,1,INS-2026-028,南美市场准入认证制度:巴西/阿根廷/智利/哥伦比亚/秘鲁,体系科普,
LCM,南美,阿根廷,否（待补充）,1,INS-2026-028,南美市场准入认证制度:巴西/阿根廷/智利/哥伦比亚/秘鲁,体系科普,
3CV,南美,智利,否（待补充）,1,INS-2026-028,南美市场准入认证制度:巴西/阿根廷/智利/哥伦比亚/秘鲁,体系科普,
SNCA,南美,哥伦比亚,否（待补充）,1,INS-2026-028,南美市场准入认证制度:巴西/阿根廷/智利/哥伦比亚/秘鲁,体系科普,
NRCS LOC / SABS·SANS,非洲,南非,否（待补充）,1,INS-2026-029,南非汽车认证:NRCS 型式批准六步 + SABS/SANAS 闭环,体系科普,
TISI / DLT / ECO Sticker,东南亚,泰国,否（待补充）,1,INS-2026-030,泰国汽车出口认证:TISI + DLT + ECO Sticker 三体系与 BEV 要点,体系科普,
SONCAP PC1/PC2/SC,非洲,尼日利亚,否（待补充）,1,INS-2026-031,非洲各国汽车进口政策与 CoC/ECTN:左舵国合辑,体系科普,
CoC + ECTN,非洲,科特迪瓦,否（待补充）,1,INS-2026-031,非洲各国汽车进口政策与 CoC/ECTN:左舵国合辑,体系科普,
CONAMA 401/08,南美,巴西,否（待补充）,1,INS-2026-033,巴西 CONAMA 401/08:电池重金属限值与回收(EPR),文本解读,
第5142号最高法令,南美,玻利维亚,否（待补充）,1,INS-2026-034,玻利维亚规范新能源进口:第5142号令打击'假混动',修订解读,
TDS/PHP 型式指定,东亚,日本,否（待补充）,1,INS-2026-035,全球32国/联盟车辆准入许可概览(亚/欧/北美/南美/中东/大洋洲/非洲),体系科普,
KMVSS/KC Mark,东亚,韩国,否（待补充）,1,INS-2026-035,全球32国/联盟车辆准入许可概览(亚/欧/北美/南美/中东/大洋洲/非洲),体系科普,
ARAI/CMVR,南亚,印度,否（待补充）,1,INS-2026-035,全球32国/联盟车辆准入许可概览(亚/欧/北美/南美/中东/大洋洲/非洲),体系科普,
EAC,欧亚,欧亚经济联盟,否（待补充）,1,INS-2026-035,全球32国/联盟车辆准入许可概览(亚/欧/北美/南美/中东/大洋洲/非洲),体系科普,
DOT/FMVSS + EPA + CARB,北美,美国,否（待补充）,1,INS-2026-036,七大海外市场24国准入政策与趋势:北美/南美/欧盟/欧亚/中东/东盟/非洲,体系科普,
CDOT/CMVSS,北美,加拿大,否（待补充）,1,INS-2026-036,七大海外市场24国准入政策与趋势:北美/南美/欧盟/欧亚/中东/东盟/非洲,体系科普,
NOM,北美,墨西哥,否（待补充）,1,INS-2026-036,七大海外市场24国准入政策与趋势:北美/南美/欧盟/欧亚/中东/东盟/非洲,体系科普,
LCVM/CAT,南美,巴西,否（待补充）,1,INS-2026-036,七大海外市场24国准入政策与趋势:北美/南美/欧盟/欧亚/中东/东盟/非洲,体系科普,
EU 2018/858 第39条(Article 39),欧盟,欧盟,是,1,INS-2026-037,"欧洲高阶智驾「通关」指南:R171是正门,第39条是VIP快速通道",对比解读,
UN Regulation No. 100.05,欧洲,UN ECE,是,1,INS-2026-038,中欧动力电池热失控法规差异详解:不起火、不爆炸,对比解读,
"Decreto Legislativo Nº383 (1995, ref.2001)",中美洲,萨尔瓦多,否（待补充）,1,INS-2026-040,萨尔瓦多机动车进口估值与海关(Decreto Legislativo Nº383·官方现行),文本解读,
"Land Transport Law 2021 (总统令235/PO,决议31/NA)",东南亚,老挝,否（待补充）,1,INS-2026-041,老挝《陆路运输法》2021——车辆进口·技术许可·测试·注册框架(官方),文本解读,
ASEAN MRA on Automotive Type Approval 2021,东南亚,东盟,是,1,INS-2026-042,ASEAN 汽车产品型式批准互认协议(MRA 2021)——老挝/东盟互认依据,体系科普,
Ley Fomento Importación Vehículos Eléctricos/Híbridos (Decreto 465/738),中美洲,萨尔瓦多,否（待补充）,1,INS-2026-043,萨尔瓦多电动/混动车进口激励法(Decreto 465/738 改革),文本解读,
Ley 63-17 Tránsito,加勒比,多米尼加,否（待补充）,1,INS-2026-044,多米尼加车辆准入官方法源体系(交通法63-17 / EV激励103-13 / 估值 / 环保),体系科普,
Ley 103-13 (EV进口激励),加勒比,多米尼加,否（待补充）,1,INS-2026-044,多米尼加车辆准入官方法源体系(交通法63-17 / EV激励103-13 / 估值 / 环保),体系科普,
(EU) 2019/1020 市场监管条例(MSR),欧盟,欧盟,否（待补充）,1,INS-2026-045,(EU) 2019/1020 市场监管条例(MSR):整车/零部件出海『投放市场后』合规框架,体系科普,
(EU) 2018/858 WVTA 整车型式批准框架,欧盟,欧盟,否（待补充）,1,INS-2026-045,(EU) 2019/1020 市场监管条例(MSR):整车/零部件出海『投放市场后』合规框架,体系科普,
TR CU 018/2011 轮式车辆安全性(OTTC 型式批准),欧亚经济联盟,俄罗斯,否（待补充）,1,INS-2026-046,EAEU OTTC 认证与准入:发证/生产时序规则 + CBU/KD 出口差异(TR CU 018/2011),体系科普,
